#t x y z vx vy vz
0.00 -377.22 611.18 -284.66 72.38 -73.57 52.26
0.07 -371.92 606.00 -281.19 74.48 -77.77 55.01
0.14 -366.68 600.62 -277.60 73.53 -76.95 52.59
0.21 -361.23 595.11 -274.02 72.66 -78.66 54.22
0.29 -356.14 589.66 -270.44 71.35 -80.96 51.54
0.36 -351.20 584.09 -267.00 71.95 -82.95 48.74
0.43 -346.20 578.27 -263.58 68.53 -81.53 45.34
0.50 -341.55 572.51 -260.41 67.97 -82.40 42.52
0.57 -336.80 566.66 -257.30 67.80 -82.34 42.16
0.64 -332.19 560.65 -254.04 66.44 -84.56 43.27
0.71 -327.83 554.54 -250.64 58.83 -82.87 43.16
0.79 -323.92 548.73 -247.52 53.79 -80.97 43.09
0.86 -320.43 543.06 -244.39 46.95 -75.98 41.07
0.93 -317.21 537.76 -241.36 44.98 -70.91 38.01
1.00 -313.98 532.76 -238.37 45.98 -69.02 42.28
1.07 -310.66 527.77 -235.01 42.24 -64.44 47.47
1.14 -307.62 523.11 -231.33 44.98 -61.28 47.79
1.21 -304.23 518.53 -227.63 47.55 -61.68 53.36
1.29 -300.77 514.01 -223.60 46.66 -59.96 57.56
1.36 -297.09 509.63 -219.48 51.39 -59.99 58.71
1.43 -293.24 505.14 -215.11 52.96 -61.20 62.11
1.50 -289.15 500.71 -210.67 57.69 -61.73 62.30
1.57 -284.86 496.19 -206.13 58.97 -62.58 63.17
1.64 -280.41 491.62 -201.52 62.53 -64.19 65.52
1.71 -275.64 486.93 -196.90 69.30 -67.85 66.85
1.79 -270.53 481.98 -191.97 72.96 -69.06 68.72
1.86 -265.26 477.15 -187.25 76.28 -72.10 70.17
1.93 -259.59 472.04 -182.23 78.00 -72.15 72.80
2.00 -253.96 466.84 -177.24 78.74 -74.19 73.17
2.07 -248.29 461.43 -172.09 81.05 -78.61 74.03
2.14 -242.26 455.87 -167.08 83.96 -82.29 76.72
2.21 -236.32 450.08 -161.71 85.60 -82.51 74.17
2.29 -230.21 444.36 -156.56 90.05 -83.89 71.44
2.36 -223.83 438.26 -151.29 93.43 -88.43 71.75
2.43 -217.45 431.89 -146.07 91.16 -92.55 71.44
2.50 -211.06 425.32 -140.92 93.13 -95.70 73.13
2.57 -204.53 418.44 -135.58 94.49 -97.33 73.83
2.64 -198.03 411.41 -130.11 92.74 -97.35 73.51
2.71 -191.44 404.44 -124.78 94.39 -99.29 72.50
2.79 -184.67 397.18 -119.29 95.00 -102.09 76.24
2.86 -177.96 389.84 -113.73 97.40 -104.14 76.49
2.93 -171.10 382.22 -108.03 96.77 -105.43 75.94
3.00 -164.16 374.39 -102.37 97.59 -110.79 78.18
3.07 -157.29 366.34 -96.53 99.18 -111.95 80.59
3.14 -149.98 358.01 -90.60 103.18 -117.94 80.66
3.21 -142.66 349.43 -84.63 105.34 -121.00 80.30
3.29 -135.15 340.36 -78.42 109.04 -129.11 84.60
3.36 -127.36 330.71 -71.97 112.61 -134.99 87.10
3.43 -119.30 320.58 -65.47 114.56 -143.91 85.81
3.50 -110.88 309.74 -59.15 119.42 -157.58 86.23
3.57 -102.39 297.91 -52.76 116.31 -168.58 89.13
3.64 -93.74 285.33 -46.58 121.65 -181.71 85.83
3.71 -84.69 271.57 -40.66 122.85 -199.32 81.52
3.79 -75.64 256.30 -35.11 123.73 -227.40 71.04
3.86 -66.63 238.96 -30.58 121.01 -259.14 53.10
3.93 -58.58 218.97 -28.04 94.95 -298.94 13.08
4.00 -53.55 197.84 -29.91 43.90 -286.00 -53.10
4.07 -51.64 179.57 -34.83 16.81 -232.17 -68.54
4.14 -50.69 165.32 -39.95 20.93 -186.33 -59.20
4.21 -49.40 153.17 -43.51 26.03 -159.84 -41.23
4.29 -48.11 142.74 -45.77 26.79 -135.77 -25.67
4.36 -46.86 133.72 -46.98 24.94 -114.88 -14.61
4.43 -45.67 126.11 -47.74 21.46 -99.52 -4.52
4.50 -44.42 119.55 -47.89 22.28 -82.67 0.37
4.57 -42.83 113.69 -47.38 16.87 -67.36 5.56
4.64 -41.83 109.28 -46.86 15.97 -54.75 8.99
4.71 -40.79 105.66 -46.04 15.56 -43.84 13.98
4.79 -39.81 102.90 -45.03 12.94 -32.65 14.87
4.86 -38.94 101.03 -43.98 16.71 -21.71 15.91
4.93 -38.02 99.97 -42.92 17.38 -10.67 16.40
5.00 -36.71 99.53 -41.76 19.71 -2.95 20.41
5.07 -35.26 99.55 -40.15 20.85 5.79 23.05
5.14 -33.54 100.22 -38.38 23.56 14.40 26.92
5.21 -31.28 101.44 -36.21 27.25 19.60 33.57
5.29 -29.41 103.15 -33.78 26.75 28.55 37.50
5.36 -27.25 105.55 -31.15 30.54 37.10 41.96
5.43 -25.23 108.60 -28.15 34.78 48.58 45.19
5.50 -22.66 112.34 -24.78 37.95 56.02 51.54
5.57 -19.91 116.95 -20.89 44.65 70.52 58.35
5.64 -16.74 122.59 -16.51 49.53 87.41 68.08
5.71 -13.01 129.66 -11.34 60.72 110.49 80.02
5.79 -8.33 138.71 -5.16 81.11 147.11 98.76
5.86 -0.49 150.72 3.24 197.08 148.35 134.35
5.93 10.53 156.80 9.18 120.08 20.43 64.32
6.00 17.63 157.90 12.17 50.95 -6.62 39.26
6.07 21.86 156.40 13.98 8.35 -21.28 22.19
6.14 23.84 152.78 15.33 -14.47 -50.92 8.32
6.21 23.66 146.44 16.08 -52.13 -115.65 -22.22
6.29 21.79 139.58 15.68 52.55 -2.04 36.12
6.36 24.03 138.80 17.30 37.37 -6.68 41.33
6.43 29.36 138.17 20.00 29.30 -27.99 40.86
6.50 28.41 136.69 21.28 37.52 -34.89 31.21
6.57 30.62 134.42 23.56 40.09 -26.68 43.54
6.64 34.59 132.72 26.91 41.94 -26.84 43.32
6.71 35.58 131.76 29.12 43.77 -26.95 38.20
6.79 38.82 129.91 31.67 38.26 -34.49 27.32
6.86 41.76 127.71 33.94 40.40 -32.40 27.03
6.93 44.15 125.68 35.94 39.50 -34.19 26.06
7.00 47.03 123.44 38.24 41.02 -34.09 26.83
7.07 49.46 120.78 40.17 34.25 -34.83 14.89
7.14 51.96 118.32 41.84 34.90 -30.84 14.69
7.21 54.46 116.16 43.61 33.45 -27.99 14.35
7.29 56.92 114.15 45.25 34.49 -29.60 14.54
7.36 59.93 111.15 47.63 34.89 -24.16 20.52
7.43 62.33 109.46 49.18 33.13 -21.74 20.95
7.50 65.06 107.69 50.79 35.94 -22.15 24.48
7.57 67.64 106.18 52.25 34.50 -21.98 26.47
7.64 70.32 104.83 53.97 33.59 -20.33 22.34
7.71 72.78 103.42 55.30 30.86 -19.12 22.78
7.79 75.38 103.25 55.99 33.51 -16.17 20.01
7.86 78.14 101.05 58.04 31.39 -18.12 21.15
7.93 80.74 99.64 59.57 31.98 -20.22 17.78
8.00 83.38 98.39 61.15 33.28 -17.46 22.01
8.07 85.83 97.23 62.80 33.94 -18.21 22.94
8.14 88.02 95.94 64.63 32.54 -16.15 25.35
8.21 90.42 94.88 66.39 34.12 -15.50 26.59
8.29 92.93 93.80 68.35 35.38 -20.70 31.73
8.36 95.37 92.46 70.47 36.67 -20.16 36.29
8.43 97.73 91.02 72.46 37.14 -23.98 33.11
8.50 100.02 89.14 74.55 34.09 -28.02 33.35
8.57 102.47 87.43 76.36 35.97 -28.44 29.92
8.64 104.99 85.33 78.17 33.59 -33.59 23.43
8.71 107.80 83.11 80.19 29.23 -31.20 25.48
8.79 109.91 81.26 82.06 32.48 -27.98 23.49
8.86 112.35 79.38 83.62 32.09 -29.40 20.90
8.93 114.46 77.41 85.25 31.93 -27.50 22.04
9.00 116.44 75.36 87.03 32.28 -26.14 19.71
9.07 118.77 73.47 88.64 29.19 -24.60 21.76
9.14 120.55 71.41 90.32 30.61 -25.18 21.14
9.21 122.74 69.71 91.89 29.55 -25.31 18.57
9.29 124.64 67.57 93.22 31.52 -26.51 19.35
9.36 126.74 65.67 94.80 31.06 -26.39 21.95
9.43 128.49 63.67 96.12 27.11 -25.33 21.71
9.50 130.69 62.84 97.09 25.48 -21.26 19.56
