#t x y z vx vy vz
0.00 -1.94 2.96 -1.44 -0.05 4.17 -0.43
0.07 -2.00 3.07 -1.47 -1.20 8.31 -0.36
0.14 -1.84 3.09 -1.55 -3.64 8.99 -0.92
0.21 -2.20 3.37 -1.59 -3.00 7.97 0.07
0.29 -2.48 3.67 -1.57 -4.61 8.18 -0.19
0.36 -2.78 4.09 -1.53 -6.70 7.61 0.60
0.43 -3.26 4.72 -1.63 -9.03 12.64 -2.31
0.50 -3.59 5.49 -1.82 -4.79 10.83 -2.80
0.57 -3.81 6.12 -2.00 -3.17 7.08 -1.93
0.64 -3.92 6.60 -2.16 -5.14 4.29 -1.80
0.71 -4.18 7.07 -2.22 -7.67 6.16 -0.90
0.79 -4.52 7.61 -2.53 -8.36 9.53 -6.52
0.86 -5.02 8.27 -3.16 -10.07 6.60 -9.65
0.93 -5.98 9.20 -3.70 -11.51 11.03 -9.23
1.00 -6.78 10.16 -4.30 -6.30 10.87 -7.73
1.07 -7.06 11.03 -4.85 -4.12 10.97 -8.51
1.14 -7.43 12.22 -5.65 -4.59 16.71 -10.64
1.21 -7.73 13.33 -6.44 -7.60 14.39 -11.16
1.29 -8.32 14.38 -7.18 -9.51 15.17 -10.93
1.36 -9.11 15.56 -7.95 -12.04 17.60 -11.25
1.43 -10.03 16.81 -8.87 -11.96 14.48 -13.51
1.50 -10.92 18.13 -9.89 -13.60 22.39 -14.83
1.57 -11.61 19.83 -10.91 -10.88 24.16 -15.71
1.64 -12.24 21.50 -11.82 -13.90 25.60 -12.70
1.71 -13.17 23.33 -12.76 -12.01 26.98 -14.23
1.79 -14.14 25.09 -13.78 -14.57 24.95 -15.65
1.86 -15.27 27.00 -14.87 -18.52 27.35 -15.17
1.93 -16.64 29.20 -15.81 -24.52 29.78 -15.04
2.00 -18.27 31.71 -16.93 -22.47 35.00 -15.28
2.07 -19.80 34.27 -18.06 -22.15 39.64 -16.56
2.14 -21.30 37.21 -19.24 -17.39 40.43 -15.53
2.21 -22.59 40.06 -20.46 -18.84 38.90 -19.07
2.29 -24.15 42.95 -21.86 -23.28 38.50 -19.20
2.36 -25.95 45.93 -23.15 -24.67 44.05 -19.26
2.43 -27.65 49.07 -24.49 -24.02 44.06 -19.48
2.50 -29.43 52.22 -25.90 -24.55 49.92 -20.18
2.57 -31.22 55.89 -27.41 -25.13 54.78 -21.95
2.64 -33.12 59.79 -28.79 -25.96 54.42 -19.37
2.71 -34.96 63.72 -30.28 -26.41 55.52 -22.13
2.79 -36.91 67.80 -31.91 -28.10 58.17 -24.09
2.86 -38.94 72.01 -33.61 -31.83 63.13 -23.87
2.93 -41.09 76.54 -35.40 -31.62 66.01 -27.92
3.00 -43.20 81.49 -37.46 -31.73 72.84 -28.36
3.07 -45.22 86.95 -39.46 -34.12 79.66 -28.07
3.14 -47.46 92.91 -41.52 -34.65 81.47 -30.33
3.21 -49.77 99.09 -43.71 -36.88 83.41 -30.25
3.29 -52.41 105.53 -45.73 -39.90 89.38 -30.46
3.36 -55.31 112.38 -47.93 -43.19 96.93 -31.60
3.43 -58.50 120.03 -50.16 -42.63 110.45 -30.47
3.50 -61.61 128.41 -52.30 -39.98 120.36 -30.21
3.57 -64.79 137.51 -54.38 -42.04 132.82 -28.11
3.64 -67.92 147.62 -56.33 -43.03 149.36 -27.66
3.71 -71.00 159.04 -58.08 -42.80 171.40 -21.09
3.79 -74.03 171.93 -59.23 -43.33 191.80 -10.85
3.86 -77.11 186.68 -59.36 -36.46 227.77 10.36
3.93 -78.79 204.30 -57.23 -5.65 264.88 57.14
4.00 -76.82 223.05 -50.40 57.23 245.61 129.52
4.07 -71.10 238.30 -40.15 91.24 182.42 148.37
4.14 -64.54 249.32 -30.14 84.74 125.31 128.88
4.21 -58.73 257.02 -21.86 74.75 89.23 103.57
4.29 -53.73 262.48 -15.12 67.37 65.38 86.12
4.36 -49.22 266.33 -9.66 62.96 45.05 70.86
4.43 -44.78 268.84 -4.98 61.82 26.40 62.79
4.50 -40.63 270.12 -0.92 58.66 8.83 52.72
4.57 -36.47 270.26 2.75 53.52 -5.99 49.88
4.64 -32.60 269.42 6.15 51.92 -17.43 43.33
4.71 -29.08 267.85 9.09 52.17 -28.43 37.66
4.79 -25.44 265.41 11.69 50.91 -40.02 32.72
4.86 -21.90 262.14 14.02 49.74 -51.18 29.93
4.93 -18.55 258.21 16.11 44.90 -60.44 25.91
5.00 -15.50 253.55 17.82 42.90 -70.80 21.38
5.07 -12.66 248.13 19.10 37.02 -80.04 14.59
5.14 -9.88 242.10 19.82 36.84 -88.43 5.15
5.21 -7.44 235.56 19.88 29.99 -92.73 -6.13
5.29 -5.11 228.88 18.85 32.25 -89.51 -19.83
5.36 -2.70 222.36 17.32 36.92 -89.57 -23.52
5.43 -0.15 215.50 15.78 37.30 -99.07 -21.05
5.50 2.36 207.98 14.31 35.90 -113.13 -18.32
5.57 4.74 199.33 13.03 32.48 -129.95 -15.73
5.64 6.73 189.16 11.67 24.39 -151.54 -20.29
5.71 7.99 177.43 9.80 10.95 -174.90 -32.39
5.79 8.46 163.77 7.26 -11.22 -223.68 -49.03
5.86 4.23 144.62 1.54 -171.68 -232.79 -87.64
5.93 -4.45 135.18 -0.80 -81.25 -73.05 -13.98
6.00 -7.71 131.60 -0.52 23.25 -34.35 22.48
6.07 -6.02 131.40 1.26 79.25 0.74 47.69
6.14 0.16 133.58 5.16 125.47 42.32 72.76
6.21 14.03 140.76 11.92 184.49 133.09 119.09
6.29 21.56 145.46 18.71 37.77 -43.98 30.47
6.36 24.03 141.82 20.97 41.79 -49.78 21.68
6.43 26.74 138.49 22.74 41.20 -27.54 17.16
6.50 29.73 136.61 25.11 40.43 -21.29 21.08
6.57 32.99 134.35 27.40 39.51 -31.25 21.20
6.64 35.97 132.21 28.87 39.34 -22.29 35.37
6.71 39.12 130.01 31.53 36.87 -26.32 34.47
6.79 41.45 128.26 33.08 43.05 -27.92 40.86
6.86 44.44 125.28 35.86 40.58 -31.53 29.26
6.93 46.89 122.97 37.40 42.13 -31.41 24.24
7.00 49.81 120.47 39.39 37.22 -29.13 22.80
7.07 52.64 119.03 40.81 37.90 -23.42 30.24
7.14 54.56 118.48 41.43 33.35 -21.45 20.51
7.21 56.99 117.11 42.51 37.20 -24.52 21.55
7.29 59.71 115.20 44.35 32.87 -27.17 21.10
7.36 62.07 113.64 45.84 31.38 -25.71 22.55
7.43 64.50 112.01 47.78 31.20 -23.64 26.90
7.50 66.80 110.62 49.60 30.89 -24.71 24.53
7.57 68.79 108.54 51.38 29.60 -27.11 23.57
7.64 70.72 106.35 53.08 32.04 -25.04 30.39
7.71 72.92 104.93 54.79 29.32 -21.54 25.40
7.79 74.76 103.19 56.16 29.40 -20.69 18.74
7.86 76.79 101.85 57.42 31.03 -16.85 18.73
7.93 79.01 100.68 58.59 33.51 -20.08 18.19
8.00 80.85 98.84 59.92 36.93 -16.79 21.42
8.07 83.61 97.88 61.57 37.96 -17.04 22.45
8.14 86.02 96.23 63.21 38.09 -19.71 22.75
8.21 89.37 95.69 65.32 38.36 -16.88 29.75
8.29 92.00 93.90 67.86 41.14 -16.74 35.00
8.36 94.49 91.86 70.36 40.27 -23.15 38.63
8.43 97.37 90.42 72.80 37.68 -22.71 36.81
8.50 99.71 88.60 74.91 34.54 -24.98 32.36
8.57 102.33 86.82 77.09 32.55 -24.62 26.19
8.64 104.92 84.96 79.31 32.36 -25.59 26.93
8.71 107.22 83.11 80.80 31.47 -25.45 19.95
8.79 109.64 81.02 82.96 26.60 -27.38 14.50
8.86 111.74 79.20 84.37 32.91 -25.87 19.00
8.93 113.95 77.04 85.94 32.74 -25.59 21.60
9.00 116.47 75.60 87.32 30.77 -24.30 20.13
9.07 118.61 73.80 88.69 29.26 -24.33 20.12
9.14 120.62 71.86 90.19 30.37 -27.70 19.20
9.21 122.69 70.10 91.26 31.51 -25.45 21.91
9.29 124.70 68.11 92.86 31.57 -25.78 21.43
9.36 126.86 66.15 94.25 28.65 -25.71 17.93
9.43 128.87 64.12 95.65 27.17 -29.29 20.48
9.50 130.80 62.49 97.23 25.31 -22.08 23.97
9.57 132.84 61.23 98.80 26.85 -17.04 26.74
9.64 134.87 60.06 100.70 29.01 -13.34 24.59
9.71 137.00 59.07 102.48 28.88 -14.69 22.00
9.79 139.37 58.10 104.34 31.94 -18.14 24.80
9.86 141.96 57.02 106.36 35.88 -16.45 25.83
9.93 144.16 55.67 108.05 36.59 -17.11 29.75
10.00 146.93 54.29 110.32 38.15 -19.85 31.71
10.07 149.65 53.10 112.74 35.95 -21.97 31.81
10.14 152.17 51.63 114.99 31.18 -19.81 34.89
10.21 154.47 50.50 117.45 33.20 -17.92 32.50
10.29 156.73 48.93 119.96 33.25 -18.53 31.92
10.36 158.93 47.36 122.09 34.03 -16.93 29.97
10.43 161.07 45.83 123.65 33.96 -19.70 24.42
10.50 163.26 44.12 125.29 29.66 -26.75 20.29
10.57 165.65 42.33 126.64 32.38 -31.84 18.14
10.64 167.72 40.34 127.70 30.90 -31.36 17.21
10.71 169.88 38.42 128.75 29.40 -30.07 17.71
10.79 171.87 36.44 130.18 25.33 -23.64 18.30
10.86 173.80 35.05 131.86 26.21 -20.48 18.57
10.93 175.80 33.61 133.66 30.55 -17.30 24.26
11.00 178.09 32.15 135.77 31.92 -17.31 27.20
11.07 180.26 30.76 137.76 30.33 -20.42 26.98
11.14 182.38 29.11 139.72 29.49 -21.89 28.87
11.21 184.40 27.20 141.45 29.66 -22.44 28.71
11.29 186.73 26.00 143.32 29.23 -18.26 28.59
11.36 188.62 24.28 145.18 29.41 -22.64 27.79
11.43 190.87 23.17 146.72 31.35 -19.16 26.73
