#t x y z vx vy vz
0.00 -98.53 -120.01 -127.76 -29.13 173.81 93.53
0.10 -101.06 -102.20 -117.93 -21.49 182.32 102.97
0.20 -102.73 -83.53 -107.10 -11.85 191.10 113.66
0.30 -103.30 -63.98 -95.13 0.46 199.92 125.81
0.40 -102.45 -43.57 -81.86 16.41 208.26 139.61
0.50 -99.77 -22.41 -67.12 37.26 215.06 155.08
0.60 -94.68 -0.74 -50.78 64.48 218.30 171.75
0.70 -86.51 20.90 -32.80 98.98 214.46 187.91
0.80 -74.61 41.57 -13.42 139.01 198.94 199.75
0.90 -58.78 60.00 6.68 177.52 169.62 202.11
1.00 -39.67 75.08 26.41 204.87 132.10 192.51
1.10 -18.52 86.46 44.83 218.07 95.44 176.04
1.20 3.42 94.46 61.52 220.64 64.67 157.74
1.30 25.30 99.72 76.43 217.06 40.46 140.40
1.40 46.68 102.83 89.70 210.41 21.75 124.95
1.50 67.32 104.28 101.52 202.42 7.23 111.47
1.60 87.14 104.43 112.08 193.99 -4.16 99.76
1.70 106.11 103.56 121.55 185.57 -13.22 89.55
1.80 124.26 101.88 130.05 177.39 -20.52 80.58
1.90 141.61 99.53 137.71 169.53 -26.47 72.64
2.00 158.19 96.63 144.62 162.03 -31.38 65.56
2.10 174.03 93.29 150.86 154.90 -35.46 59.19
2.20 189.18 89.58 156.49 148.11 -38.87 53.43
2.30 203.67 85.55 161.57 141.65 -41.75 48.19
2.40 217.53 81.25 166.15 135.49 -44.19 43.38
2.50 230.78 76.73 170.27 129.61 -46.26 38.96
2.60 243.46 72.01 173.96 123.99 -48.03 34.87
2.70 255.59 67.13 177.26 118.59 -49.53 31.06
2.80 267.19 62.12 180.19 113.41 -50.81 27.51
2.90 278.29 56.98 182.77 108.43 -51.90 24.19
3.00 288.89 51.74 185.03 103.62 -52.82 21.07
3.10 299.02 46.42 186.99 98.97 -53.60 18.12
3.20 308.69 41.03 188.67 94.48 -54.25 15.33
3.30 317.92 35.58 190.07 90.12 -54.78 12.69
3.40 326.72 30.08 191.21 85.88 -55.21 10.18
3.50 335.10 24.54 192.11 81.76 -55.55 7.79
3.60 343.08 18.97 192.78 77.75 -55.81 5.51
3.70 350.66 13.38 193.22 73.84 -55.99 3.33
3.80 357.85 7.78 193.45 70.01 -56.10 1.24
3.90 364.66 2.17 193.47 66.27 -56.16 -0.77
4.00 371.11 -3.45 193.30 62.60 -56.15 -2.70
4.10 377.19 -9.06 192.93 59.00 -56.09 -4.56
4.20 382.91 -14.66 192.39 55.47 -55.98 -6.36
4.30 388.28 -20.25 191.66 51.99 -55.82 -8.09
4.40 393.31 -25.83 190.77 48.58 -55.62 -9.77
4.50 398.00 -31.38 189.71 45.20 -55.38 -11.39
4.60 402.36 -36.90 188.50 41.88 -55.09 -12.96
4.70 406.38 -42.39 187.12 38.60 -54.77 -14.49
4.80 410.08 -47.85 185.60 35.35 -54.41 -15.98
4.90 413.45 -53.27 183.93 32.14 -54.02 -17.42
5.00 416.51 -58.65 182.12 28.96 -53.59 -18.83
5.10 419.24 -63.99 180.17 25.80 -53.13 -20.20
5.20 421.67 -69.28 178.08 22.67 -52.63 -21.53
5.30 423.78 -74.51 175.86 19.57 -52.10 -22.84
5.40 425.58 -79.69 173.51 16.48 -51.54 -24.11
5.50 427.08 -84.82 171.04 13.40 -50.95 -25.36
5.60 428.26 -89.88 168.44 10.34 -50.32 -26.57
5.70 429.14 -94.88 165.73 7.29 -49.66 -27.77
5.80 429.72 -99.81 162.89 4.24 -48.97 -28.93
5.90 429.99 -104.67 159.94 1.20 -48.25 -30.08
6.00 429.96 -109.46 156.88 -1.84 -47.49 -31.20
6.10 429.63 -114.17 153.70 -4.88 -46.70 -32.30
6.20 428.99 -118.80 150.42 -7.92 -45.88 -33.38
6.30 428.04 -123.34 147.03 -10.97 -45.02 -34.44
6.40 426.79 -127.80 143.53 -14.03 -44.12 -35.48
6.50 425.24 -132.17 139.93 -17.09 -43.18 -36.51
6.60 423.37 -136.44 136.23 -20.18 -42.21 -37.51
6.70 421.20 -140.61 132.43 -23.27 -41.19 -38.50
6.80 418.72 -144.67 128.53 -26.39 -40.13 -39.47
6.90 415.92 -148.63 124.54 -29.53 -39.03 -40.43
7.00 412.81 -152.47 120.45 -32.70 -37.88 -41.37
7.10 409.38 -156.20 116.26 -35.89 -36.68 -42.29
7.20 405.63 -159.81 111.99 -39.12 -35.43 -43.20
7.30 401.55 -163.28 107.62 -42.38 -34.12 -44.09
7.40 397.15 -166.63 103.17 -45.69 -32.76 -44.96
7.50 392.41 -169.83 98.63 -49.03 -31.33 -45.82
7.60 387.34 -172.89 94.01 -52.43 -29.84 -46.66
7.70 381.93 -175.80 89.30 -55.87 -28.28 -47.48
7.80 376.16 -178.54 84.51 -59.37 -26.64 -48.29
7.90 370.05 -181.12 79.65 -62.93 -24.92 -49.08
8.00 363.57 -183.52 74.70 -66.56 -23.12 -49.85
8.10 356.73 -185.74 69.68 -70.27 -21.22 -50.59
8.20 349.52 -187.76 64.58 -74.05 -19.22 -51.31
8.30 341.92 -189.58 59.42 -77.92 -17.11 -52.01
8.40 333.93 -191.18 54.18 -81.88 -14.88 -52.68
8.50 325.54 -192.55 48.88 -85.94 -12.51 -53.32
8.60 316.73 -193.67 43.52 -90.11 -10.00 -53.93
8.70 307.51 -194.54 38.10 -94.41 -7.33 -54.49
8.80 297.85 -195.13 32.62 -98.83 -4.49 -55.02
8.90 287.73 -195.43 27.10 -103.40 -1.44 -55.49
9.00 277.16 -195.41 21.53 -108.12 1.83 -55.90
9.10 266.10 -195.05 15.92 -113.01 5.34 -56.25
9.20 254.55 -194.33 10.28 -118.09 9.14 -56.51
9.30 242.47 -193.21 4.62 -123.37 13.25 -56.68
9.40 229.86 -191.66 -1.05 -128.87 17.74 -56.73
9.50 216.69 -189.64 -6.72 -134.61 22.64 -56.62
9.60 202.93 -187.10 -12.36 -140.61 28.03 -56.33
9.70 188.55 -184.00 -17.97 -146.90 33.99 -55.83
9.80 173.53 -180.27 -23.51 -153.49 40.62 -55.06
9.90 157.84 -175.84 -28.97 -160.40 48.05 -53.95
10.00 141.44 -170.62 -34.28 -167.66 56.44 -52.39
